session_id,date,team_category,md_day,exercise_id,exercise_name,exercise_type,objective_primary,weather,temp_c,team_fatigue_score,readiness_score,avg_total_distance_m,avg_distance_per_min,avg_hsr_m,avg_sprint_distance_m,avg_percent_max_speed,avg_accelerations,avg_decelerations,avg_player_load,avg_metabolic_power,avg_hr_mean,avg_hr_max,rpe_mean
SES0001,2024-07-01,U23,MD_plus1,EX025,Recovery_Game_5v5_40x35,recovery_drill,recovery,Light_Rain,10.4,8.0,2.8,516.65,29.61,8.24,0.0,17.82,3,3,19.14,3.01,50,55,1.4
SES0001,2024-07-01,U23,MD_plus1,EX033,SSG_4v4_20x15_Regen,small_sided_game,recovery,Light_Rain,10.4,8.0,2.8,431.37,27.97,8.89,0.0,15.59,4,3,19.99,2.77,50,55,1.5
SES0001,2024-07-01,U23,MD_plus1,EX026,Recovery_Walk_Jog_Circuit,recovery_drill,recovery,Light_Rain,10.4,8.0,2.8,352.3,21.76,2.72,0.0,15.0,2,1,15.13,2.15,50,55,1.2
SES0002,2024-07-03,First_Team,MD3,EX030,Transition_6v6_40x35_Wide,transition_game,mixed_conditioning,Clear,27.0,5.2,6.4,783.15,96.34,80.46,58.35,73.0,21,18,94.12,11.66,85,94,8.5
SES0002,2024-07-03,First_Team,MD3,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,27.0,5.2,6.4,997.86,97.27,98.49,57.86,74.5,18,14,109.95,9.71,80,97,8.6
SES0002,2024-07-03,First_Team,MD3,EX010,LargeGame_8v8_60x40_Possession,large_sided_game,aerobic_conditioning,Clear,27.0,5.2,6.4,907.22,97.73,117.26,54.59,74.63,19,15,125.58,8.42,87,95,7.4
SES0002,2024-07-03,First_Team,MD3,EX017,Accel_Sprint_15m_x6,sprint_drill,acceleration_development,Clear,27.0,5.2,6.4,122.76,87.34,11.8,8.58,75.11,11,9,56.48,17.42,81,91,7.5
SES0003,2024-07-05,First_Team,MD2,EX015,Flying_Sprint_20m,sprint_drill,speed_development,Light_Rain,10.8,4.6,7.2,189.93,128.47,46.68,66.62,93.42,4,4,43.39,14.18,77,88,6.3
SES0003,2024-07-05,First_Team,MD2,EX028,Possession_8v8_50x35_Neutral,possession_game,aerobic_conditioning,Light_Rain,10.8,4.6,7.2,730.14,79.75,65.16,30.56,60.4,11,13,80.62,11.13,78,90,6.6
SES0003,2024-07-05,First_Team,MD2,EX014,Flying_Sprint_30m,sprint_drill,speed_development,Light_Rain,10.8,4.6,7.2,245.16,147.95,86.52,93.7,85.11,5,4,66.59,16.1,77,90,6.9
SES0003,2024-07-05,First_Team,MD2,EX018,Transition_Sprint_40m,sprint_drill,speed_development,Light_Rain,10.8,4.6,7.2,326.96,152.65,98.79,89.34,88.55,6,8,66.04,12.87,84,90,7.5
SES0004,2024-07-07,B_Team,MD2,EX035,Speed_Endurance_60m_x4,sprint_drill,speed_endurance,Clear,29.7,5.8,4.1,467.81,154.28,136.07,158.64,80.14,6,6,84.56,10.81,80,89,7.2
SES0004,2024-07-07,B_Team,MD2,EX012,LargeGame_10v10_70x50_Open,large_sided_game,aerobic_conditioning,Clear,29.7,5.8,4.1,960.99,85.01,83.79,60.62,61.98,16,16,93.96,10.34,77,87,8.2
SES0004,2024-07-07,B_Team,MD2,EX018,Transition_Sprint_40m,sprint_drill,speed_development,Clear,29.7,5.8,4.1,312.92,151.55,80.04,87.44,80.08,7,7,70.18,12.36,80,86,8.7
SES0004,2024-07-07,B_Team,MD2,EX028,Possession_8v8_50x35_Neutral,possession_game,aerobic_conditioning,Clear,29.7,5.8,4.1,695.32,61.88,50.52,29.54,55.92,14,13,74.53,8.1,69,82,6.8
SES0004,2024-07-07,B_Team,MD2,EX019,Finishing_4v3_25x20,finishing_drill,mixed_conditioning,Clear,29.7,5.8,4.1,391.38,58.42,32.77,17.47,55.41,15,14,53.99,9.4,75,87,6.6
SES0005,2024-07-09,B_Team,MD3,EX010,LargeGame_8v8_60x40_Possession,large_sided_game,aerobic_conditioning,Clear,18.7,3.6,4.4,965.64,95.62,173.65,67.15,78.87,18,17,109.96,11.42,82,95,7.3
SES0005,2024-07-09,B_Team,MD3,EX003,SSG_5v5_30x25_Possession,small_sided_game,aerobic_conditioning,Clear,18.7,3.6,4.4,723.15,119.17,49.23,28.45,60.21,21,23,103.08,11.06,87,99,7.4
