date,session_id,player_id,position,sleep_score,readiness_score,hrv,resting_hr,fatigue_score,soreness_score,stress_score,cmj_height_cm,cmj_asymmetry_percent,vbt_mean_velocity,minutes_last_match,injury_flag
2024-07-01,SES0001,P001,GK,4.6,2.6,45.9,75,8.7,7.3,4.4,50.2,5.0,0.534,90,0
2024-07-01,SES0001,P002,CB,4.7,1.0,48.4,59,7.8,7.1,4.7,42.4,7.7,0.604,75,0
2024-07-01,SES0001,P003,CB,4.4,5.3,45.5,58,9.1,6.6,5.0,45.6,6.2,0.565,90,0
2024-07-01,SES0001,P004,CB,5.0,4.4,47.4,58,8.6,6.1,4.4,48.1,7.1,0.617,75,0
2024-07-01,SES0001,P005,LB,5.6,4.0,58.7,62,7.5,6.2,5.7,53.5,2.0,0.603,45,0
2024-07-01,SES0001,P006,LB,5.3,1.5,53.4,61,8.6,4.7,5.4,43.0,5.6,0.641,45,0
2024-07-01,SES0001,P007,RB,3.3,3.6,48.8,64,7.6,5.4,5.0,47.0,1.1,0.477,45,0
2024-07-01,SES0001,P008,RB,4.2,3.4,58.1,67,7.8,5.2,3.2,46.0,2.1,0.621,90,0
2024-07-01,SES0001,P009,CDM,5.3,3.4,53.6,64,8.0,7.2,7.1,50.0,4.8,0.563,90,0
2024-07-01,SES0001,P010,CDM,5.8,1.3,60.9,64,9.0,8.1,3.8,45.1,1.6,0.555,45,0
2024-07-01,SES0001,P011,CM,4.0,3.6,36.9,71,9.1,7.3,3.0,48.8,2.2,0.574,60,1
2024-07-01,SES0001,P012,CM,5.0,4.0,39.7,60,7.6,7.3,4.8,54.4,2.2,0.563,45,0
2024-07-01,SES0001,P013,CM,5.4,1.0,51.5,63,8.2,4.7,2.8,41.6,5.2,0.62,90,0
2024-07-01,SES0001,P014,LW,4.7,6.6,57.6,61,8.6,8.0,5.3,44.4,3.8,0.552,90,0
2024-07-01,SES0001,P015,LW,6.7,1.0,50.3,70,7.2,5.4,5.7,49.7,4.8,0.57,45,1
2024-07-01,SES0001,P016,RW,6.3,1.7,39.5,70,7.7,5.2,4.3,46.2,4.8,0.601,60,0
2024-07-01,SES0001,P017,RW,4.6,1.6,44.0,67,8.3,6.8,3.4,42.0,5.4,0.588,60,0
2024-07-01,SES0001,P018,CAM,7.1,3.6,42.8,60,5.7,6.2,2.5,48.5,4.9,0.564,75,0
2024-07-01,SES0001,P019,CAM,5.1,1.6,53.6,63,7.6,6.2,5.2,44.5,5.6,0.566,60,0
2024-07-01,SES0001,P020,ST,4.4,1.0,50.8,61,9.6,7.0,4.2,47.8,2.6,0.435,90,0
2024-07-01,SES0001,P021,ST,5.3,3.2,40.7,61,8.2,7.1,3.9,45.5,3.3,0.609,45,0
2024-07-01,SES0001,P022,ST,5.7,2.4,52.5,61,6.7,6.3,5.3,52.2,7.2,0.607,90,0
2024-07-03,SES0002,P001,GK,4.8,5.4,63.1,67,7.5,7.5,5.6,44.8,4.8,0.567,0,0
2024-07-03,SES0002,P002,CB,9.0,7.4,59.1,52,4.4,3.4,6.9,49.8,3.2,0.565,30,0
2024-07-03,SES0002,P003,CB,6.2,6.2,56.9,66,6.3,3.2,2.8,54.5,2.3,0.634,60,0
2024-07-03,SES0002,P004,CB,7.1,5.0,54.2,67,6.6,5.4,1.0,47.8,0.8,0.607,30,0
2024-07-03,SES0002,P005,LB,5.1,6.1,52.9,59,5.4,3.3,6.4,52.0,4.5,0.692,30,0
2024-07-03,SES0002,P006,LB,5.4,5.5,58.2,61,5.3,4.0,5.7,49.9,7.3,0.607,30,0
2024-07-03,SES0002,P007,RB,7.3,6.7,44.8,59,5.2,4.5,4.1,44.6,7.2,0.613,60,0
2024-07-03,SES0002,P008,RB,6.7,6.1,60.3,60,5.1,4.3,4.2,49.8,3.6,0.573,0,0
2024-07-03,SES0002,P009,CDM,6.8,4.6,60.0,61,5.1,5.2,7.1,47.2,5.1,0.6,0,0
2024-07-03,SES0002,P010,CDM,6.4,6.9,70.6,60,4.5,2.4,4.0,54.5,6.7,0.526,0,0
2024-07-03,SES0002,P011,CM,7.6,5.1,76.4,57,3.8,1.4,3.5,52.0,7.4,0.624,30,0
2024-07-03,SES0002,P012,CM,7.2,4.6,65.0,62,5.3,3.6,4.7,42.6,2.9,0.566,30,0
2024-07-03,SES0002,P013,CM,8.0,6.0,72.2,55,4.6,4.7,4.7,49.1,5.9,0.65,0,0
2024-07-03,SES0002,P014,LW,7.6,5.9,71.8,57,4.3,3.7,4.4,47.2,10.4,0.643,80,0
2024-07-03,SES0002,P015,LW,6.5,3.8,54.4,65,6.9,4.1,5.9,48.7,5.4,0.541,30,0
2024-07-03,SES0002,P016,RW,5.6,7.7,54.6,62,7.1,5.9,3.6,52.2,5.4,0.559,60,0
2024-07-03,SES0002,P017,RW,6.5,6.4,53.3,60,6.2,4.8,5.1,43.1,3.4,0.572,60,0
2024-07-03,SES0002,P018,CAM,7.6,6.7,63.3,60,4.0,3.8,3.7,49.8,6.2,0.709,0,0
2024-07-03,SES0002,P019,CAM,7.9,7.2,59.2,55,5.1,5.1,4.0,46.4,4.7,0.635,30,0
2024-07-03,SES0002,P020,ST,6.7,5.0,70.5,57,4.7,5.3,4.2,54.3,6.0,0.615,80,0
2024-07-03,SES0002,P021,ST,6.9,4.3,72.6,56,5.1,4.5,6.7,43.6,5.5,0.635,80,0
2024-07-03,SES0002,P022,ST,8.1,6.0,64.5,56,3.4,5.0,2.8,55.7,1.7,0.698,30,0
2024-07-05,SES0003,P001,GK,8.4,8.0,72.8,51,3.1,1.0,6.0,48.3,7.0,0.685,0,0
2024-07-05,SES0003,P002,CB,8.2,7.8,63.7,53,2.3,2.7,3.8,48.5,5.7,0.788,0,0
2024-07-05,SES0003,P003,CB,7.7,5.1,68.8,58,3.8,3.1,6.7,50.5,6.9,0.578,90,0
2024-07-05,SES0003,P004,CB,6.5,7.0,43.4,56,5.1,4.3,6.5,49.9,1.6,0.597,0,0
2024-07-05,SES0003,P005,LB,8.0,6.2,56.7,57,2.6,3.8,4.5,50.3,1.9,0.613,90,0
2024-07-05,SES0003,P006,LB,5.2,9.3,54.3,59,5.9,6.5,4.1,50.6,4.8,0.573,30,0
2024-07-05,SES0003,P007,RB,10.0,9.3,78.3,51,2.3,1.4,4.6,55.8,2.4,0.581,0,0
2024-07-05,SES0003,P008,RB,7.5,7.7,54.1,63,3.4,3.4,2.1,51.4,8.9,0.657,0,0
2024-07-05,SES0003,P009,CDM,6.2,9.5,54.0,60,5.1,3.1,7.1,46.2,5.1,0.66,0,0
2024-07-05,SES0003,P010,CDM,5.2,8.3,74.3,64,5.2,5.4,4.3,51.6,3.7,0.549,90,0
2024-07-05,SES0003,P011,CM,7.9,6.9,57.8,54,2.8,1.2,5.6,50.3,4.2,0.583,0,0
2024-07-05,SES0003,P012,CM,7.0,7.8,79.3,60,3.7,2.7,6.6,52.9,1.6,0.582,60,0
